| IP Address      |   Port | Service             | Country   | City   | Organization                                                                                             | ISP                                              | ASN      |   Latitude |   Longitude |
| 103.141.117.162 |     80 | Hikvision IP Camera | India     | Pune   | Mutiny Systems Private Limited                                                                           | VORTEX INFOWAY PRIVATE LIMITED                   | AS134932 |    18.5196 |     73.8554 |
| 123.136.169.194 |     83 | Hikvision IP Camera | India     | Pune   | Tikona Infinet Ltd.                                                                                      | Tikona Infinet Ltd.                              | AS45528  |    18.5196 |     73.8554 |
| 115.117.45.97   |     80 | Hikvision IP Camera | India     | Pune   | Internet Service Provider                                                                                | Tata Communications Ltd                          | AS10199  |    18.5196 |     73.8554 |
| 110.227.197.81  |     80 | Hikvision IP Camera | India     | Pune   | Bharti Airtel Services Limited, 6th floor , Interface Building No 7, Link Road, Mumbai Maharastra-400064 | Bharti Airtel Ltd., Telemedia Services           | AS24560  |    18.5167 |     73.9167 |
| 116.74.138.130  |     80 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5167 |     73.9167 |
| 117.200.216.228 |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5131 |     73.7825 |
| 45.113.248.176  |     80 | Hikvision IP Camera | India     | Pune   | Intermedia Cable Communication Pvt Ltd                                                                   | Intermedia Cable Communication Pvt Ltd           | AS134055 |    18.5196 |     73.8554 |
| 14.140.225.49   |     80 | Hikvision IP Camera | India     | Pune   | Internet Service Provider                                                                                | TATA Communications formerly VSNL is Leading ISP | AS4755   |    18.5196 |     73.8554 |
| 103.118.145.230 |     80 | Hikvision IP Camera | India     | Pune   | Gowio Networks Pvt Ltd                                                                                   | Netmax Broadband Services                        | AS137100 |    18.5196 |     73.8554 |
| 1.23.242.214    |     80 | Hikvision IP Camera | India     | Pune   | Tikona Infinet Ltd.                                                                                      | Tikona Infinet Ltd.                              | AS45528  |    18.5196 |     73.8554 |
| 103.22.140.168  |     80 | Hikvision IP Camera | India     | Pune   | TATA PLAY BROADBAND PRIVATE LIMITED                                                                      | TATA PLAY BROADBAND PRIVATE LIMITED              | AS134674 |    18.5131 |     73.7825 |
| 103.139.69.66   |     80 | Hikvision IP Camera | India     | Pune   | Teleglobal Communications Pvt Ltd                                                                        | Teleglobal Communications Pvt Ltd                | AS135722 |    18.5196 |     73.8554 |
| 183.87.228.87   |     80 | Hikvision IP Camera | India     | Pune   | FiveNetwork Solutions India Pvt Ltd                                                                      | Fivenetwork Solution India Pvt Ltd Internet      | AS24554  |    18.5196 |     73.8554 |
| 103.96.40.54    |     80 | Hikvision IP Camera | India     | Pune   | Limerick Technologies Pvt. Ltd.                                                                          | Limerick Technologies Pvt. Ltd.                  | AS138311 |    18.5196 |     73.8554 |
| 103.167.184.50  |   8051 | Hikvision IP Camera | India     | Pune   | SKYNET BROADBAND SERVICES                                                                                | SKYNET BROADBAND SERVICES                        | AS141831 |    18.5196 |     73.8554 |
| 103.120.250.30  |     80 | Hikvision IP Camera | India     | Pune   | Digital Cloud Technologies Private Limited                                                               | SAMPARK ESTATES PVT. LTD.                        | AS133232 |    18.5196 |     73.8554 |
| 182.75.139.242  |     82 | Hikvision IP Camera | India     | Pune   | PODAR EDUCATION & SPORTS TRUST                                                                           | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
